QA 넘버,페이지,시나리오,DEPTH1,DEPTH2,DEPTH3,작동 UI,확인 사항,정상 결과,P/F [웹_explore]," 이슈 내용_웹_explore",이미지,P/F[웹_Safari],이슈 내용_웹_맥_사파리,파일과 미디어 2,P/F[웹_Chrome],이슈 내용_웹_크롬,파일과 미디어 2 (1),P/F[모바일_ios],이슈 내용_모바일_ios_사파리,이미지2,P/F[모바일_android],이슈 내용_모바일_안드,파일과 미디어 2 (2),우선순위,진행상황
"QA_0001
",로그인,이메일 입력,로그인 화면,이메일 입력,,키보드,1. 입력필드 탭 시 이메일 키보드가 정상 노출되는가?,,해당없음,,,Pass,,,해당없음,,,Pass,,,Pass,,,Low,시작 전
"QA_0002
",로그인,비밀번호 입력,,비밀번호 입력,,,"1. 입력 시 * 문자로 정상 노출되는가?
2. 1자 이상 입력 시 눈 아이콘 정상 노출 되는가?
3. 눈 아이콘 클릭 시 →문자로 정상 변환 되는가?
4. 눈 아이콘 재 클릭 시 문자→로 정상 변환 되는가?",,Pass,1. 2비밀번호 입력시 눈 아이콘 2개 노출됨 → 시간 지나면 1개 노출됨,,Pass,,,Pass,,,Pass,,,Pass,,,Low,완료
QA_0003,로그인,올바른 이메일과 비밀번호 입력 후 로그인 버튼 클릭,,"이메일, 비밀번호 입력",로그인 버튼 클릭,[로그인] 버튼,"1. 로그인 화면에서 로그인 버튼이 정상 활성화 노출 되는가?
2. 클릭 시 메인홈(채팅목록)으로 이동하는가?","1. 로그인 버튼 정상 활성화 노출
2. 메인홈(채팅목록) 이동",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0004
",로그인,"입력값이 빈 상태로 or 잘못된 이메일,비밀번호 입력 후 로그인 버튼 클릭",,,,[로그인] 버튼,"1. 로그인 화면에서 로그인 버튼이 정상 활성화 노출 되는가?
2. 클릭 시 에러메세지가 노출되는가?","1. 로그인 버튼 정상 활성화노출
2. 에러메시지 노출
- 아이디 에러 : Email error 표시
- 비밀번호 에러 : Password error 표시
- 아이디+비밀번호 에러 : Email error +  Password error 표시",Pass,1. 2성공이긴 하나 에러 메시지 노출이 좀 느림 (5초 뒤 노출),%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0004/%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3%E1%84%8B%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%A9%E1%84%85%E1%85%B2.jpg,Fail,,,Fail,"1. 2 
- 이메일 잘못 기입, 비밀번호 정확히 기입
→ 아이디+비밀번호 에러 표시
(첨부 이미지 참고)

2. 2 탈퇴한 계정으로 로그인 시도
→ 아이디+비밀번호 에러 표시
→ 탈퇴한 계정으로 로그인 불가하다는 모달 노출",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0004/%EC%9D%B4%EB%A9%94%EC%9D%BC%EC%98%A4%EB%A5%98.jpg,Fail,,,Fail,"1. 2 
- 이메일 잘못 기입, 비밀번호 정확히 기입
→ 아이디+비밀번호 에러 표시
(첨부 이미지 참고)

2. 2 탈퇴한 계정으로 로그인 시도
→ 아이디+비밀번호 에러 표시
→ 탈퇴한 계정으로 로그인 불가하다는 모달 노출",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0004/%EC%9D%B4%EB%A9%94%EC%9D%BC%EC%98%A4%EB%A5%98%201.jpg,High,시작 전
"QA_0005
",로그인,로그인 화면 서버 500 오류,,,,,1. 서버 오류시 500번 페이지가 노출 되는가?,1. 500번 페이지 정상 노출,Pass,,,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
"QA_0006
",로그인,로그인 화면 클라이언트 400 오류,,,,[Go back] 버튼,"1. 클라이언트 오류시 400번 페이지가 노출 되는가?
2. [Go back] 버튼 클릭 시 로그인 화면으로 재로딩 되는가?","1. 400번 페이지 정상 노출
2. 2. [Go back] 버튼 클릭 시 로그인 화면으로 재로딩",Fail,"1. 2 메인홈으로 이동했다가 다시 400 에러 페이지 뜸
→ 로그인 페이지로 바로 이동하기",,확인불가,,,확인불가,,,Pass,1. 로그인 도중 인터넷 연결 해제 후 강제 실행,,확인불가,,,Low,시작 전
"QA_0007
",회원가입,이름 입력필드 확인,회원가입 화면,,,,1. 이름 입력필드에 플레이스 홀더가 정상 노출되는가?,"1. 이름 입력필드 플레이스홀더 정상 노출
: Enter your first name(1-15characters)
: Enter your last name(1-15characters)",Pass,,,Pass,,,Pass,"1. 1 영어만 입력할 수 있게 수정
- 첨부 이미지 참고",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0007/%EC%9E%85%EB%A0%A5%ED%95%84%EB%93%9C%EC%98%A4%EB%A5%98.webp,Fail,"1. 1 영어만 입력할 수 있게 수정
- 첨부 이미지 참고",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0007/%E1%84%8B%E1%85%B5%E1%86%B8%E1%84%85%E1%85%A7%E1%86%A8%E1%84%91%E1%85%B5%E1%86%AF%E1%84%83%E1%85%B3%E1%84%8B%E1%85%A9%E1%84%85%E1%85%B2.jpg,Pass,"1. 1 영어만 입력할 수 있게 수정
- 첨부 이미지 참고",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0007/%EC%9E%85%EB%A0%A5%ED%95%84%EB%93%9C%EC%98%A4%EB%A5%98%201.webp,Medium,완료
"QA_0008
",회원가입,이름 입력 후 유효성 검사 확인,,이름 (first/last name) 입력,,헬퍼텍스트,"1. 조건(1자~15자 제한)에 부합하지 않는 경우 에러메시지가 정상 노출 되는가?
2. 이름 입력필드에 공백/엔터가 허용되지 않는가?","1. 초과 입력시 입력필드 에러상태 + 에러메시지 정상 노출
: You can enter up to 15 characters
2. 입력필드 공백/엔터 허용X(입력 block)",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0010
",회원가입,"이메일 입력 시 활성화된 [Verify] 버튼 확인 ",,이메일 입력,,[verify] 버튼,"1. 올바른 이메일 형식이 아닌 경우에 입력필드 하단에 헬퍼텍스트가 정상 노출 되는가?
1-2. 이메일 형식이 맞을 경우 헬퍼텍스트 사라지는가?
2. 올바른 이메일 형식을 입력한 경우에 인증하기 버튼이 정상 활성화 되는가?","1. 이메일 형식이 아닌 경우 헬퍼텍스트 정상 노출
: Please enter a valid email address.
1-2. 이메일 형식이 맞을경우 헬퍼텍스트 사라짐
2. verify 버튼 활성화",Pass,1.1중복확인 후 이메일을 다시 건드려 형식에 맞지 않게 된 경우에 다시 에러 메시지 노출하기,,Pass,,,Pass,,,Pass,,,Fail,"1.1문구가 처음에는 영어로 나왔다가 여러번 반복하니 영어가 아닌 한글로 나옴
-첨부 이미지 참고",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0010/%EC%97%90%EB%9F%AC1.jpg,Medium,시작 전
"QA_0009
",회원가입,이메일 입력필드 클릭,,이메일 입력필드 클릭,,"이메일 키보드, 입력필드","1. 이메일 키보드가 자동 정상 노출되는가?
2. 입력필드가 포커스 상태로 전환되는가?","1. 이메일 키보드 정상 노출
2. 입력필드 포커스 상태로 전환",해당없음,,,해당없음,,,해당없음,,,Pass,,,Pass,,,Low,시작 전
