페이지,이벤트명,태그,트리거,매개변수,반영 여부,매개변수 값,type,목적,인사이트
로그인,view_login,페이지 방문,로그인 페이지 진입 시,자동 수집,No,,,로그인 페이지 유입량 파악,
,,,,,No,,,,
,"success_login
→ login","버튼 클릭, 전환",로그인 완료 시,user_id,Yes,uuid,string,로그인 및 재방문율 분석,
,,,,date,Yes,"로그인 한 날짜
(YYYY-MM-DD)",string,,
,,,,"method
→ 추가했습니다!",No,"로그인 방법
(email / google : 추후 확장)",,,
,,,,,No,,,,
,fail_login,버튼 클릭,login 버튼 클릭 시,user_id,Yes,uuid,string,사용자 식별,
,,,,error_type,Yes,"에러 타입
(wrong_email / wrong_password)
둘 다일 경우⇒ both?",string,실패 원인별 비율 분석,이메일에서 많이들 막힌다면 회원가입 할 때 이메일 형식만 옳게 하면 가입할 수 있어서 그런 것인지? (막 적은 이메일이라 기억을 못해서 그런건지?) → 실제 유효한 이메일 검증 필요
,,,,,No,,,,
회원가입,"view_sign_in
→ page_view 로 통일?","버튼 클릭, 페이지 방문","sign in 버튼 클릭 시
(회원가입 페이지 진입 시)",user_pseudo_id,Yes,"비로그인 사용자 고유ID ",string,가입 클릭율 측정,여기서 이탈률이 높다면 자사 서비스 가입이라 그런 것인지? (간편 로그인이 없기 때문인건지?
,,,,"entry_timestamp

",No,"회원가입 페이지 진입 시점
(UNIX time)",number,,아님 시간이 오래 걸려서인지? (complete_timestamp - entry_timestamp → 평균 회원가입 시간 분석)
,,,,,No,,,,
,"sign_up
","버튼 클릭, 전환","sign up 버튼 클릭 시
(회원가입 완료 시)",user_pseudo_id,Yes,비로그인 사용자 고유ID,string,가입 전환율 측정,
,,,,complete_timestamp,No,"가입 완료 시점
(UNIX time)",number,,
,,,,,No,,,,
,,,,"user_id
→ 회원가입 처리 시 바로 유저아이디가 생성된다면 추가부탁드려요!",No,유저 아이디 (uuid),string,,
,,,,"method
→ 추가했습니다!",Yes,"회원가입 방법
(email / google : 추후 확장)",,,
,,,,,No,,,,
메인,"veiw_chatroom_list
→ view_main 으로 변경 부탁드립니다!",페이지 방문,"메인(채팅목록) 진입 시 ","user_id
",Yes,uuid,string,사용자 식별,
,,,,"entry_timestamp
",Yes,"메인(채팅목록) 페이지 진입 시점
(UNIX time)",number,활성 사용자 수,"사용자가 로그인 후 실제 메인에 도달했는지? → 세션 유지율 파악
"
,,,,,No,,,,
,enter_chatroom,버튼 클릭,채팅방 카드 클릭 시,user_id,Yes,uuid,string,사용자 식별,
,,,,chatroom_id,No,uuid,string,,→ 여기서 수집 불가능(프론트)
,,,,concept,Yes,"채팅방 컨셉 (friend, honey, senior, coworker)",string,활성 채팅방 파악,어떤 관계 유형의 채팅방이 가장 많이 이용되는지 확인 → 인기 및 비인기 콘텐츠 구조 개선에 활용
,,,,entry_timestamp,No,"채팅방 카드 클릭 시점
(UNIX time)",number,-,
,,,,,No,,,,
,"open_side_menu
→ 이벤트 지워주세요!","버튼 클릭, 페이지 방문","햄버거 메뉴 클릭 시
(사이드 메뉴 오픈 시)",user_id,No,uuid,string,사용자 식별,
,,,,entry_timestamp,No,"햄버거 버튼 클릭 시점
(UNIX time)",string,"메뉴 오픈 빈도 ","메인에서 추가 기능(About, Terms, Logout 등)으로의 이동률 파악 → 메뉴 접근성, UX 개선 지표 등
"
,,,,메뉴 목록별 내용 추가 필요 - 어바웃 어스 부분도 필요한가?,No,,,,
,,,,,No,,,,
,"click_contact_us
→ 이벤트 지워주세요!","버튼 클릭, 페이지 방문","사이드 메뉴에서 contact us 클릭
(외부 링크 이동)
","user_id
",No,uuid,string,사용자 식별,"
"
,,,,"destination_url
",No,"destination_url
(https://forms.gle/dRBuvgKjwK7enscy6)","string
",외부 링크 이동 기록,사용자 문의 진입률 → 고객 지원 접근성 및 개선 여부 확인
,,,,,No,,,,
