화면 ID,구분,주 기능,처리 로직,입력값,출력값,예외,비고,BE,FE
DOR_JO_001,회원가입,1.1 자사 서비스 계정 생성,"1. 필수 항목 입력 확인
2. 비밀번호 일치 여부 확인
3. 약관 동의 체크 확인
4. DB에 사용자 계정 생성","1. First name
2. Last name
3. 이메일
4. 비밀번호
5. 비밀번호 확인
6. 약관 동의 체크",1. 회원가입 완료 팝업 안내 → 로그인 화면 이동,"1. 이메일 중복, 비밀번호 불일치, 약관 미동의 시 계정 생성 불가
2. 필수 정보 미입력 시 계정 생성 불가
3. 서버 오류
1) Error Code 500, 400 페이지 이동 
2) 버튼 정상 노출 및 클릭 시 로그인 화면 이동",이메일 인증 후순위로 두고 진행,시작 전,시작 전
DOR_LO_001,로그인,2.1 계정 로그인,"1. 입력값 검증 (형식 확인)
2. DB에서 이메일, 비밀번호 매칭 (암호화 비교)
3. 성공 시 세션/토큰 발급","1. 아이디(이메일)
2. 비밀번호",서비스 메인 홈으로 이동,"1. 입력 오류: 이메일 형식이 올바르지 않을 경우 헬퍼텍스트 노출 
: Please enter a valid email address.
2. 비밀번호 불일치: 입력한 비밀번호가 DB 저장 값과 다를 경우 에러메시지 노출
: Please check your password format.",소셜 로그인 (Google),시작 전,시작 전
DOR_CH_001,메인홈(채팅목록),3.1 채팅방 목록 조회,"1. 서비스에서 기본 제공 채팅방 4개 로드
2. 고정 정렬
3. 사용자가 채팅방 클릭 시 해당 대화 화면 진입
4. 진입 시 AI가 인트로 메시지 발송(DB에서 순차 호출)",메인홈 진입,"1. 채팅방 목록 표시
2. 입장 시 AI 메시지 출력","1. 서버 오류
1) Error Code 500, 400 페이지 이동 
2) 버튼 정상 노출 및 클릭 시 메인홈 화면 이동",,시작 전,시작 전
,,3.2 서비스 소개,,상세 보기,서비스 소개서 페이지,,,시작 전,시작 전
,,3.3 서비스 이용약관 동의,,상세 보기,서비스 이용약관 페이지,,,시작 전,시작 전
,,3.4 개인정보처리방침 동의,,상세 보기,개인정보처리방침 페이지,,,시작 전,시작 전
,,3.5 문의사항,,상세 보기,구글 폼 링크,,,시작 전,시작 전
,,3.6 계정 로그아웃,"1. 세션/토큰 즉시 만료
2. 휘발성 캐시 데이터 삭제","1. 사용자 ID
2. 로그아웃 버튼",로그아웃 시 로그인 화면 이동,,,시작 전,시작 전
,,3.7 계정 탈퇴,"1. 탈퇴 요청
2. 탈퇴 완료
3. DB 내 계정 정보 및 데이터 삭제
4. 세션/토큰 만료","1. 사용자 ID
(2. 비밀번호 확인)
3. 탈퇴 동의",탈퇴 완료 시 로그인 화면 이동,,,시작 전,시작 전
DOR_CH_002,채팅방,4.1 메시지 조회 (첫진입),"1. 사용자 특정 채팅방 진입 → 채팅방 입장 이벤트 발생
2. 서버가 해당 채팅방 ID 기준으로 메시지 DB 조회
3. 클라이언트 화면에 메시지 렌더링","1. 사용자 ID
2. 채팅방 ID
3. 요청 시점(timestamp)",AI가 보낸 메시지,"1. 서버 오류
1) Error Code 500, 400 페이지 이동 
2) 버튼 정상 노출 및 클릭 시 메인홈 화면 이동","1. 채팅은 나가면 종료
2. 하루에 한번 제공",시작 전,시작 전
DOR_ST_001,,5.1 보관함 조회,"1. 사용자가 채팅방 목록 화면에서 보관함 버튼 클릭
2. 서버에서 사용자의 보관함 데이터 호출
3. 보관함 페이지로 이동
4. 방별로 구분된 칩 상단에 노출, 각 칩 선택 시 해당 채팅방에서 저장한 표현만 필터링","1. 사용자 ID
2. 보관함 버튼","1. 보관함 화면으로 이동
2. 저장된 표현 리스트
3. 방별 저장 표현","1. 저장된 표현이 없는 경우, 보관 표현이 없으면 빈 보관함 페이지 이동
2. 서버 오류
1) Error Code 500, 400 페이지 이동 
2) 버튼 정상 노출 및 클릭 시 보관함 화면 이동",,시작 전,시작 전
,,5.2 메시지 입력 및 전송,"1. 입력값 유효성 검사 (공백만 입력 시 전송 불가)
2. 서버에 메시지 저장
3. 채팅방 UI에 전송된 메시지 출력",메시지,메시지,서버 오류 시 “Failed to send message” 토스트 메시지 노출,,시작 전,시작 전
,,5.3 AI 응답,"1. 사용자 메시지 → AI 모델 전달
2. 관계/상황 + 친밀도 반영 → 교정/응답 생성
3. 답장 + 설명 응답
4. 설명에 어려운 단어가 있을 경우, 단어 표시",메시지,AI 응답 및 코칭 메시지 출력,"1. 응답 지연 시 로딩 인디케이터 표시
2. 실패 시 에러 메시지 노출
: Failed to load AI response",추천 프롬프트 제외 → 답장에 문장 유도 포함,시작 전,시작 전
,,5.4 표현,"1. 사용자 메시지 입력
2. 관계/상황 + 친밀도 분석
3. 더 어울리는 표현 제안",메시지,AI 응답 및 코칭 메시지 출력,"1. 실패 시 에러 메시지 노출
: Failed to load AI response",,시작 전,시작 전
DOR_ST_001,보관함,5.5 표현 보관,"1. 해당 메시지 ID와 사용자 ID를 매핑해 DB 저장
2. 보관함 화면에서 조회 가능",보관 버튼,"1. 보관 처리 완료 표시(UI)
2. 보관함 목록에 반영","1. 서버 오류로 저장 실패 시 에러 메시지 노출
: Failed to save","1. 표현, 단어 저장
2. 추후 검색 기능 추가",시작 전,시작 전
