기능 대분류,Phase 1 : 최소 기능 단위 (MVP) 수준 구현 | 현 시점,Phase 2 : 사용성 테스트 및 고도화 예정 가능,개발 여부,비고
a. 로그인 및 회원가입,"(1) 자사 서비스 로그인 및 회원가입을 수행한다.
(이름, 이메일, 비밀번호)",+ 구글/애플 간편 로그인 구현,Yes,
,,+ 사용자 언어/국적 기반 UI 자동 설정,No,
,(2) 로그인 시 사용자 프로필 (이름)을 제공한다.,+ 프로필 이름 변경,No,
b. 로그아웃 및 회원탈퇴(계정삭제),(1) 로그아웃,,No,
,(2) 회원 탈퇴 요청 시 계정 삭제를 진행한다.,"* 회원 탈퇴 시, 이탈 원인 분류 및 분석
+ 탈퇴 시, 탈퇴 사유 수집",No,
c. 채팅방 확인,(1) 메인에서 ‘연인·친구·직장동료·선배’ 4개의 관계 카테고리를 제공한다.,+ 각 관계별 AI 캐릭터 페르소나 고도화 (말투·성격 차별화),No,
,(2) 마지막 대화를 한 시점으로 채팅방별로 진입 유도 메시지를 제공한다.,,No,
d. 채팅방 진입,(1) 최초 진입 시 친밀도를 설정을 수행한다.,+ 상시 친밀도 조정 기능 → 실시간 반영,Yes,채팅방 입장 시 마다 재설정
,(2) 친밀도에 맞춰 메시지를 전송한다.,+ Greeting DB에서 Greeting Agent로 고도화,No,
e. 챗봇 대화,"(1) 사용자 답장에서 교정 내용을 제공한다.
(TTS, KO, EN)","* Intimacy Agent 
+ 감정/상황 인식 기반 응답 생성 고도화
+ 관계마다 상황별 예시 시나리오 고도화",No,
,,"* Summary Agent 생성
+ 앞의 대화 내역 5개 저장 → 문맥에 맞춰 답변할 수 있도록 챗봇 대화 기능 고도화",No,
,"(2) 챗봇이 답장 메시지를 전송한다.
(TTS, KO, EN)","* Conversation Agent
+ 감정/상황 인식 기반 응답 생성 고도화
+ 관계마다 상황별 예시 시나리오 고도화",No,
,,"* Summary Agent 생성
+ 앞의 대화 내역 5개 저장 → 문맥에 맞춰 답변할 수 있도록 챗봇 대화 기능 고도화",No,
,"(3) 챗봇 답장 메시지 중 어려운 어휘 표현 내용을 제공한다.
(TTS, KO, EN)","* Vocabulary Agent
+ 분석할 단어 범위 정교화
+ 문장별 예시 시나리오 고도화",No,
,,"* 챗봇 답장 메시지 하단에서 피드백을 받는다.
+ 좋아요 / 싫어요 등 만족도 버튼 추가
(아니면 채팅방 종료 시 피드백을 받거나)",Yes,"피드백 기능 추가 (깃발 아이콘)
오류 상황 수집 등"
f. AI 응답/교정 내용 저장,(1) 사용자 답장의 교정 내용을 저장할 수 있도록 지원한다.,+ 보관함 필터 기능 고도화,Yes,
,,+ 교정/단어 히스토리 기반 학습 리포트 제공,No,
,(2) 챗봇의 답장 내용을 저장할 수 있도록 지원한다.,"+ 보관함 필터 기능 고도화
+ 교정/단어 히스토리 기반 학습 리포트 제공",No,
,(3) 챗봇의 어휘 표현 내용을 저장할 수 있도록 지원한다.,"+ 보관함 필터 기능 고도화
+ 교정/단어 히스토리 기반 학습 리포트 제공",No,
"g. 기타 관련 기능 ",(1) 구글폼 연결로 서비스 이용 피드백을 수집한다.,+ 서비스 내 자체 피드백 폼 내장,Yes,어드민 채널 구현 완료
